hour	hourOfYear	kWh	kg/h	Tset	l/min
0	0	0.0627	54	45	0.9
0.166666667	0.166666667	0	0	45	0
0.333333333	0.333333333	0	0	45	0
0.5	0.5	0	0	45	0
0.666666667	0.666666667	0	0	45	0
0.833333333	0.833333333	0	0	45	0
1	1	0	0	45	0
1.166666667	1.166666667	0	0	45	0
1.333333333	1.333333333	0	0	45	0
1.5	1.5	0	0	45	0
1.666666667	1.666666667	0	0	45	0
1.833333333	1.833333333	0	0	45	0
2	2	0	0	45	0
2.166666667	2.166666667	0	0	45	0
2.333333333	2.333333333	0	0	45	0
2.5	2.5	0	0	45	0
2.666666667	2.666666667	0.059216667	0	45	0
2.833333333	2.833333333	0.059216667	0	45	0
3	3	0.059216667	0	45	0
3.166666667	3.166666667	0.059216667	0	45	0
3.333333333	3.333333333	0.059216667	0	45	0
3.5	3.5	0.059216667	51	45	0.85
3.666666667	3.666666667	0	0	45	0
3.833333333	3.833333333	0	0	45	0
4	4	0	0	45	0
4.166666667	4.166666667	0.117272222	0	45	0
4.333333333	4.333333333	0.154427778	0	45	0
4.5	4.5	0.154427778	0	45	0
4.666666667	4.666666667	0.207838889	0	45	0
4.833333333	4.833333333	0.529466667	0	45	0
5	5	0.671122222	101	45	1.683333333
5.166666667	5.166666667	0.859222222	32	45	0.533333333
5.333333333	5.333333333	1.096088889	0	45	0
5.5	5.5	1.402622222	46	45	0.766666667
5.666666667	5.666666667	1.349211111	277	45	4.616666667
5.833333333	5.833333333	1.312055556	122	45	2.033333333
6	6	1.456033333	263	45	4.383333333
6.166666667	6.166666667	1.685933333	236	45	3.933333333
6.333333333	6.333333333	2.036588889	264	45	4.4
6.5	6.5	2.520772222	0	45	0
6.666666667	6.666666667	3.378833333	245	45	4.083333333
6.833333333	6.833333333	3.951261111	246	45	4.1
7	7	4.000027778	461	45	7.683333333
7.166666667	7.166666667	3.759677778	538	45	8.966666667
7.333333333	7.333333333	3.454305556	681	45	11.35
7.5	7.5	3.238338889	739	45	12.31666667
7.666666667	7.666666667	3.263883333	738	45	12.3
7.833333333	7.833333333	2.446461111	288	45	4.8
8	8	2.694938889	254	45	4.233333333
8.166666667	8.166666667	2.513805556	275	45	4.583333333
8.333333333	8.333333333	2.247911111	495	45	8.25
8.5	8.5	1.705672222	761	45	12.68333333
